date,temperature,pressure,wind_speed,humidity,precipitation
2025-07-01,6,986,3.5,74.0,42.3
2025-07-02,12,1011,21.3,60.8,1.1
2025-07-03,15,1007,24.0,49.2,42.3
2025-07-04,20,1017,22.6,-0.1,25.4
2025-07-05,25,994,30.2,99.0,52.1
2025-07-06,27,1001,8.8,33.0,21.3
2025-07-07,32,1008,8.9,24.5,11.6
2025-07-08,29,1024,3.1,71.3,11.9
2025-07-09,29,990,7.4,15.5,43.1
2025-07-10,32,1027,-2.8,63.1,48.9
2025-07-11,27,1005,0.7,84.0,45.4
2025-07-12,33,1005,11.1,87.3,22.9
2025-07-13,39,1016,10.5,6.4,2.7
2025-07-14,32,1022,20.4,81.9,32.1
2025-07-15,28,1030,13.2,89.8,8.2
2025-07-16,34,1007,7.4,77.1,25.1
2025-07-17,36,1001,9.1,21.0,19.5
2025-07-18,34,993,15.7,96.2,7.6
2025-07-19,31,1021,4.0,99.8,20.1
2025-07-20,27,1009,18.8,66.0,6.1
2025-07-21,26,1002,28.2,17.0,29.1
2025-07-22,34,1024,16.9,4.7,34.5
2025-07-23,28,1022,21.2,12.4,49.9
2025-07-24,31,1001,6.2,59.5,47.0
2025-07-25,27,1017,12.0,34.1,23.4
2025-07-26,32,1007,14.5,94.5,20.8
2025-07-27,27,1013,17.7,75.1,-3.8
2025-07-28,19,989,19.7,27.5,20.7
2025-07-29,22,999,5.2,8.6,28.0
2025-07-30,26,1008,2.8,36.3,4.5
2025-07-31,21,1008,11.9,9.3,35.2
